pool_3/_reshape	Reshape	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x1x1x2048)', '(int32 2x1)'], ['(1x2048)'], 1, 2, 4]}
mixed_1/tower/conv_1/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
mixed_10/tower_1/mixed/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(384x1)'], 1, 2, 4]}
mixed_6/tower/conv_2/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 1, 2]}
conv_4	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x71x71x192)'], ['(1x71x71x192)'], 0, 19, 21], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 47, 47], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 47, 47]}
mixed_4/tower_1/conv_4/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 2, 6]}
mixed/tower/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x192x48)'], 1, 1, 4]}
mixed_10/tower_2/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x192)', '(192x1)', '(192x1)', '(192x1)', '(', '1', ')'], ['(1x8x8x192)'], 0, 81, 86], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6, 6], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 6, 6]}
mixed/tower_1/conv/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
mixed_6/tower/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 0, 2, 3]}
mixed_7/tower_1/conv_4/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)', '(1x7x192x192)'], ['(1x17x17x192)'], 0, 66, 69], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 174, 174], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 174, 174]}
mixed_8/tower_1/conv_3/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x192)'], ['(1x8x8x192)'], 1, 331, 334]}
mixed_3/tower/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)', '(64x1)', '(64x1)', '(64x1)', '(', '1', ')'], ['(1x35x35x64)'], 1, 27, 31], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 14, 14], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 14, 14]}
mixed_5/tower_1/conv_1	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 0, 18, 21], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4]}
mixed/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x192)', '(1x1x192x64)'], ['(1x35x35x64)'], 0, 18, 20], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 18, 18], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 18, 18]}
mixed_1/tower/conv_1	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)'], ['(1x35x35x64)'], 0, 14, 16], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
mixed_1/tower/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x256x48)'], 1, 1, 4]}
mixed_4/tower_1/conv_1/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(128x1)'], 0, 1, 2]}
mixed_4/tower/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(128x1)'], 1, 1, 3]}
mixed_5/tower_1/conv_2/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 0, 2, 4]}
mixed_3/tower/conv_2/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x96)'], ['(1x17x17x96)'], 1, 138, 142]}
mixed_6/tower/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 0, 1, 3]}
mixed_8/tower_1/conv_2/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 268, 271]}
mixed_1/tower_2/conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)'], ['(1x35x35x64)'], 1, 421, 423]}
mixed_5/tower_1/conv_3/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 2, 2, 7]}
mixed_7/tower_1/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 1, 0, 2]}
mixed_9/tower_1/conv	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x448)'], ['(1x8x8x448)'], 0, 22, 24], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
mixed_10/tower_1/conv_1/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x448)', '(3x3x448x384)'], ['(1x8x8x384)'], 0, 96, 100], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 440, 440], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 440, 440]}
mixed_4/tower/conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x128)'], ['(1x17x17x128)'], 1, 274, 276]}
mixed_3/tower/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x288x64)'], 0, 2, 4]}
mixed_5/tower/conv_1/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 1, 1, 5]}
mixed_9/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x1280x320)'], 0, 2, 3]}
mixed_5/tower_1/conv_2/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 1, 323, 326]}
mixed_1/tower/conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x48)'], ['(1x35x35x48)'], 2, 491, 496]}
mixed_10/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(320x1)'], 0, 1, 2]}
mixed_3/tower/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x288)', '(1x1x288x64)'], ['(1x35x35x64)'], 0, 16, 18], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 26, 26], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 26, 26]}
mixed/tower_1/conv_2/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(96x1)'], 0, 2, 3]}
mixed_9/tower_2/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 1, 2]}
mixed_9/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x1280)', '(1x1x1280x320)'], ['(1x8x8x320)'], 0, 16, 18], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 24, 24], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 24, 24]}
mixed_10/tower_1/mixed/conv_1/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)'], ['(1x8x8x384)'], 1, 2, 6]}
conv_4/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x71x71x192)'], ['(1x71x71x192)'], 2, 2, 9]}
mixed/tower_2/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x32)', '(32x1)', '(32x1)', '(32x1)', '(', '1', ')'], ['(1x35x35x32)'], 13, 65, 82], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7]}
mixed_7/tower_1/conv_3/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(7x1x192x192)'], 0, 2, 3]}
mixed_7/tower_1/conv_2/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 368, 372]}
mixed_3/tower/conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)'], ['(1x35x35x64)'], 1, 632, 636]}
mixed_5/tower/conv_1/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 0, 2, 4]}
conv_2/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x147x147x64)'], ['(1x147x147x64)'], 1, 1, 4]}
mixed_7/tower_1/conv_4	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 0, 14, 16], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
mixed_9/tower_1/mixed/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)', '(384x1)', '(384x1)', '(384x1)', '(', '1', ')'], ['(1x8x8x384)'], 1, 26, 30], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7]}
mixed_1/tower/conv_1/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 1, 2]}
mixed_10/tower_1/conv_1/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)', '(384x1)', '(384x1)', '(384x1)', '(', '1', ')'], ['(1x8x8x384)'], 1, 30, 34], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 7, 7]}
mixed_9/tower_1/mixed/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x3x384x384)'], 0, 1, 2]}
mixed_2/tower/conv/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x1x288x48)'], 0, 2, 3]}
mixed_9/join	Concat	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(', '1', ')', '(1x8x8x320)', '(1x8x8x384)', '(1x8x8x384)', '(1x8x8x384)', '(1x8x8x384)', '(1x8x8x192)'], ['(1x8x8x2048)'], 1, 37, 43], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 11, 11], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 11, 11]}
mixed_7/tower_2/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)', '(192x1)', '(192x1)', '(192x1)', '(', '1', ')'], ['(1x17x17x192)'], 1, 39, 49], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 9, 9], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 9, 9]}
mixed_9/tower_2/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 1, 0, 2]}
mixed_4/tower/conv_2/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)', '(192x1)', '(192x1)', '(192x1)', '(', '1', ')'], ['(1x17x17x192)'], 1, 26, 31], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 10, 10], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 10, 10]}
mixed_4/conv	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 0, 12, 14], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
mixed/tower_1/conv_1/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x96)'], ['(1x35x35x96)'], 1, 281, 284]}
mixed_6/tower_1/conv/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 1, 2, 7]}
mixed_5/tower_1/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 1, 1, 3]}
mixed_7/tower/conv_1	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 0, 12, 14], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 4, 4]}
mixed_2/tower_2/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
mixed_3/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x384)', '(384x1)', '(384x1)', '(384x1)', '(384x1)'], ['(1x17x17x384)'], 1, 25, 29], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15]}
mixed_5/tower_1/conv/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 0, 2, 5]}
mixed/tower_1/conv	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)'], ['(1x35x35x64)'], 0, 24, 27], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 5, 5], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 5, 5]}
mixed_9/tower_1/mixed/conv/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)'], ['(1x8x8x384)'], 1, 2, 6]}
mixed_7/tower/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 1, 2]}
mixed_1/tower/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x256)', '(1x1x256x48)'], ['(1x35x35x48)'], 0, 24, 26], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 17, 17], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 17, 17]}
mixed_7/join	Concat	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(', '1', ')', '(1x17x17x192)', '(1x17x17x192)', '(1x17x17x192)', '(1x17x17x192)'], ['(1x17x17x768)'], 1, 27, 33], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15]}
mixed_6/tower_2/conv/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 1, 1, 3]}
mixed_7/tower/conv_2	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 0, 12, 15], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 3, 3]}
mixed_5/tower_1/conv_2/conv2d_params	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(1x7x160x160)'], 0, 2, 3]}
mixed_6/tower_1/conv_1/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)', '(7x1x160x160)'], ['(1x17x17x160)'], 0, 118, 121], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 170, 170], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 170, 170]}
mixed_6/tower/conv_2/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 0, 2, 5]}
mixed_4/tower_2/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 1, 1, 4]}
mixed_2/tower/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(48x1)'], 0, 1, 2]}
mixed_10/tower_1/mixed/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)', '(1x3x384x384)'], ['(1x8x8x384)'], 0, 102, 105], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 198, 198], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 198, 198]}
mixed_9/tower_2/conv/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 1, 2]}
conv_2/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
mixed_5/tower/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 1, 1, 4]}
mixed/tower_1/conv_1	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x96)'], ['(1x35x35x96)'], 0, 10, 13], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 2, 2]}
mixed_8/tower/conv_1/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)', '(3x3x192x320)'], ['(1x8x8x320)'], 1, 64, 68], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 271, 271], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 271, 271]}
mixed_9/tower_1/mixed/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)', '(1x3x384x384)'], ['(1x8x8x384)'], 0, 77, 80], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 196, 196], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 196, 196]}
mixed/tower_1/conv_1/batchnorm/gamma	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(96x1)'], 0, 2, 3]}
mixed_9/tower_1/mixed/conv_1/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(384x1)'], 1, 1, 2]}
mixed/tower_1/conv_2/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x96)'], ['(1x35x35x96)'], 1, 2, 6]}
conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x149x149x32)'], ['(1x149x149x32)'], 1, 241, 260]}
mixed_7/tower/conv_2/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 1, 2]}
conv_3	Relu	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x73x73x80)'], ['(1x73x73x80)'], 1, 19, 22], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 16, 16], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 16, 16]}
mixed_8/tower/conv/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 2, 5]}
mixed_7/tower_1/conv_1/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(192x1)'], 0, 2, 3]}
mixed_6/tower/conv_1/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)'], ['(1x17x17x160)'], 0, 2, 4]}
mixed_4/tower_1/conv/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(128x1)'], 0, 1, 2]}
mixed/tower_2/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(32x1)'], 1, 1, 4]}
mixed/tower_1/conv_2/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x96)'], ['(1x35x35x96)'], 1, 167, 173]}
unknown/MEMCPYDtoH	MEMCPYDtoH	{'/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 123, 123], '/device:GPU:0/memcpy': [['(Transfer)'], ['(8 bytes)'], 0, 123, 123]}
mixed_2/tower_2/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x64)', '(64x1)', '(64x1)', '(64x1)', '(', '1', ')'], ['(1x35x35x64)'], 0, 58, 62], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 15, 15]}
conv_1/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x149x149x32)', '(3x3x32x32)'], ['(1x147x147x32)'], 1, 96, 100], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 209, 209], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 209, 209]}
mixed_7/tower_1/conv_2/control_dependency	Identity	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 1, 4]}
mixed_3/tower/conv/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(64x1)'], 0, 2, 3]}
mixed_1/tower_1/conv_2/batchnorm/beta	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(96x1)'], 0, 2, 3]}
mixed_5/tower_1/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x160)', '(160x1)', '(160x1)', '(160x1)', '(', '1', ')'], ['(1x17x17x160)'], 1, 56, 61], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 10, 10], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 10, 10]}
mixed_9/tower/mixed/conv/batchnorm	BatchNormWithGlobalNormalization	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)', '(384x1)', '(384x1)', '(384x1)', '(', '1', ')'], ['(1x8x8x384)'], 1, 61, 66], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 8, 8], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 8, 8]}
mixed_1/conv/Conv2D	Conv2D	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x35x35x256)', '(1x1x256x64)'], ['(1x35x35x64)'], 1, 16, 19], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 21, 21], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 21, 21]}
mixed_7/tower_2/pool	AvgPool	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x768)'], ['(1x17x17x768)'], 0, 14, 16], '/device:GPU:0/stream:13': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 156, 156], '/device:GPU:0/stream:all': [['no inputs saved in stream'], ['no outputs saved in stream'], 0, 156, 156]}
mixed_7/tower/conv/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x17x17x192)'], ['(1x17x17x192)'], 1, 289, 291]}
mixed_10/tower/mixed/conv/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(384x1)'], 0, 1, 2]}
mixed_10/tower_1/mixed/conv_1/CheckNumerics	CheckNumerics	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(1x8x8x384)'], ['(1x8x8x384)'], 1, 411, 413]}
mixed_9/tower/mixed/conv_1/batchnorm/moving_mean	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(384x1)'], 1, 1, 3]}
mixed_5/tower/conv_1/batchnorm/moving_variance	Const	{'/job:localhost/replica:0/task:0/device:GPU:0': [['(no input)'], ['(160x1)'], 1, 1, 4]}
